id;timestamp;temperature;moisture;ph;conductivity;nitrogen;phosporus;kalium;node;real_n;real_p;real_k;real_fe;real_zn;real_cu;macro_now;micro_now;add_ma;add_mi;need_ma;need_mi
2;2025-05-21 22:16:37;26.9;95.0;5.0;350.0;55.0;45.0;60.0;1;29.4;24.0;32.1;3.8;2.4;0.6;85.5;6.8;148.5;148.2;1;1
6;2025-05-21 22:17:07;26.9;95.0;4.0;350.0;56.0;40.0;62.0;1;29.9;21.4;33.1;4.1;2.5;0.8;84.4;7.4;149.6;147.6;1;1
9;2025-05-21 22:17:30;26.9;95.0;4.0;350.0;57.0;42.0;60.0;1;30.4;22.4;32.1;4.1;2.5;0.8;84.9;7.4;149.1;147.6;1;1
10;2025-05-21 22:17:37;26.9;95.0;4.0;350.0;56.0;43.0;60.0;1;29.9;23.0;32.1;4.1;2.5;0.8;84.9;7.4;149.1;147.6;1;1
12;2025-05-21 22:17:52;26.9;95.0;4.0;350.0;58.0;40.0;61.0;1;31.0;21.4;32.6;4.1;2.5;0.8;84.9;7.4;149.1;147.6;1;1
13;2025-05-21 22:17:59;26.9;95.0;4.0;350.0;57.0;45.0;59.0;1;30.4;24.0;31.5;4.1;2.5;0.8;86.0;7.4;148.0;147.6;1;1
16;2025-05-21 22:18:21;26.9;908.0;3.0;4044619.0;58.0;44.0;57.0;1;31.0;23.5;30.4;39.1;46.0;74.4;84.9;159.5;149.1;-4.5;1;0
18;2025-05-21 22:18:36;26.9;95.0;4.0;350.0;55.0;45.0;49.0;1;29.4;24.0;26.2;4.1;2.5;0.8;79.6;7.4;154.4;147.6;1;1
19;2025-05-21 22:18:43;26.9;95.0;4.0;350.0;35.0;21.0;25.0;1;18.7;11.2;13.4;4.1;2.5;0.8;43.3;7.4;190.7;147.6;1;1
25;2025-05-21 22:19:27;26.9;910.0;3.0;3744619.0;35.0;20.0;31.0;1;18.7;10.7;16.6;39.2;44.5;69.6;45.9;153.2;188.1;1.8;1;1
